Year,Item Name,Fabric Kgs
2019,SF54 BLUE,134012
2019,PPWovenSack,69615
2019,HF54 BLUE,61827
2019,PF54 BLUE,60022
2019,KANGAROO54 BLUE,56351
2020,SF54 BLUE,135769
2020,24MESHLQ42 BLUE,90863
2020,PPWovenSack,83311
2020,HF54 BLUE,81907
2020,PF54 BLUE,66085
2021,SF54 BLUE,192327
2021,HF54 BLUE,115866
2021,24MESHLQ42 BLUE,115312
2021,PPWovenSack,80143
2021,KANGAROO54 BLUE,75348
2022,24MESHLQ42 BLUE,95368
2022,SF54 BLUE,80860
2022,KANGAROO54 BLUE,62221
2022,PPWovenSack,54699
2022,PF54 BLUE,49115
2023,24MESHLQ42 BLUE,20624
2023,PPWovenSack,16166
2023,HF54 BLUE,13932
2023,PF54 BLUE,13072
2023,KANGAROO54 BLUE,11706
